category_low_id,week_num,region,cl_cnt
1100,4,Tokyo,21239
1100,5,Niigata,1669
1100,5,Tokyo,23119
1100,6,Niigata,1847
1100,6,Tokyo,20525
1100,7,Niigata,1441
1100,7,Tokyo,18644
1100,8,Niigata,1882
1100,8,Tokyo,19093
1100,9,Niigata,1862
1100,9,Tokyo,19792
1100,10,Niigata,1984
1100,10,Tokyo,17733
1100,11,Niigata,1983
1100,11,Tokyo,16954
1100,12,Niigata,1905
1100,12,Tokyo,17425
1100,13,Niigata,1885
1100,13,Tokyo,17448
1100,14,Niigata,1593
1100,14,Tokyo,21642
1100,15,Niigata,1583
1100,15,Tokyo,19002
1100,16,Niigata,1758
1100,16,Tokyo,17240
1100,17,Niigata,1889
1100,17,Tokyo,17978
1100,18,Niigata,1462
1100,18,Tokyo,20345
1100,19,Niigata,1889
1100,19,Tokyo,24167
1100,20,Niigata,1689
1100,20,Tokyo,22554
1100,21,Niigata,1579
1100,21,Tokyo,19991
1100,22,Niigata,1640
1100,22,Tokyo,20138
1100,23,Niigata,1529
1100,23,Tokyo,18823
1100,24,Niigata,1350
1100,24,Tokyo,18485
1100,25,Niigata,1410
1100,25,Tokyo,16204
1100,26,Niigata,1533
1100,26,Tokyo,14871
1100,27,Niigata,1325
1100,27,Tokyo,15122
1100,28,Niigata,1422
1100,28,Tokyo,13164
1100,29,Niigata,1430
1100,29,Tokyo,12456
1100,30,Niigata,1964
1100,30,Tokyo,12319
1100,31,Niigata,1512
1100,31,Tokyo,15603
1100,32,Niigata,1470
1100,32,Tokyo,15369
1100,33,Niigata,1659
1100,33,Tokyo,15261
1100,34,Niigata,1828
1100,34,Tokyo,13993
1100,35,Niigata,1782
1100,35,Tokyo,16426
1100,36,Niigata,1867
1100,36,Tokyo,20701
1100,37,Niigata,1752
1100,37,Tokyo,14673
1100,38,Niigata,1630
1100,38,Tokyo,13966
1100,39,Niigata,1883
1100,39,Tokyo,16431
1100,40,Niigata,1620
1100,40,Tokyo,18156
1100,41,Niigata,1383
1100,41,Tokyo,16233
1100,42,Niigata,1601
1100,42,Tokyo,15395
1100,43,Niigata,1714
1100,43,Tokyo,14023
1100,44,Niigata,1720
1100,44,Tokyo,15294
