category_min_id,category_min_name
207,旅行＞クルーズ＞国内
208,旅行＞その他＞総合
209,ポイント＞ポイントサイト
210,その他エンターテインメント
211,ゲーム＞RPG＞MMORPG・MORPG
212,ゲーム＞RPG＞その他
213,ゲーム＞アクションゲーム＞アクション
214,ゲーム＞アクションゲーム＞FPS・TPS
215,ゲーム＞テーブルゲーム＞その他
216,ゲーム＞テーブルゲーム＞麻雀
217,ゲーム＞カードゲーム
218,ゲーム＞スポーツゲーム＞野球
219,ゲーム＞スポーツゲーム＞サッカー
220,ゲーム＞スポーツゲーム＞その他スポーツ
221,ゲーム＞その他オンラインゲーム＞シミュレーション
222,ゲーム＞その他オンラインゲーム＞その他
223,ゲーム＞その他オンラインゲーム＞ダウンロード型
224,ゲーム＞その他オンラインゲーム＞ブラウザ型
225,電子書籍（公式）
226,その他＞その他＞総合
227,医療＞眼科＞レーシック
228,美容整形＞整形・形成外科＞脱毛
229,美容整形＞整形・形成外科＞メンズ脱毛
230,美容整形＞整形・形成外科＞痩身
231,美容整形＞整形・形成外科＞豊胸
232,美容整形＞整形・形成外科＞整形
233,美容整形＞整形・形成外科＞包茎・ED
234,美容整形＞歯科＞歯科矯正
235,美容整形＞歯科＞インプラント
236,美容整形＞その他医療
237,住宅＞リフォーム会社
238,住宅＞斡旋業
239,不動産＞住宅情報
240,不動産＞不動産業者
241,自動車＞新車販売＞車
242,自動車＞新車販売＞バイク
243,自動車＞中古車販売＞車
244,自動車＞中古車販売＞バイク
245,自動車＞中古車査定＞車
246,自動車＞中古車査定＞バイク
247,自動車＞車検予約
248,自動車＞レンタカー
249,自動車＞自動車情報＞総合
250,DHA
251,職業紹介＞紹介会社＞工場系
252,人材派遣業＞派遣会社＞工場系
253,てすと伊藤3
254,男性用ヘアケア
255,AGA・薄毛治療
256,その他＞介護・介護施設
257,その他＞ふるさと納税
258,DMP用＞脱毛器
259,DMP用＞美顔器
260,DMP用＞バストアップ
261,DMP用＞スキンケア
262,DMP用＞美容関連その他
263,トランクルーム
264,DMP用＞APPゲーム
265,DMP用＞妊娠関連
266,通信＞WiFi
267,DMP用＞アンチエイジング
268,DMP用＞保湿
269,DMP用＞トライアルセット
270,DMP用＞美白
271,オンライン予約＞その他
272,教育＞プログラミング講座
273,DMP用＞自動車関連
274,DMP用＞結婚相談所
275,DMP用＞マッチング（競合）
276,DMP用＞マッチング（その他）
277,DMP用＞ニキビ
278,教育＞塾＞通信
279,教育＞塾＞通学
280,レンタル＞その他
281,アプリ
282,その他＞民泊
283,ゲーム＞スマホアプリ
284,その他＞占い
285,その他＞着うた・着メロ
286,その他＞デコメ・きせかえ
287,仮想通貨
