category_min_id,week_num,cv_cnt
1,1,445
1,2,520
1,3,481
1,4,531
1,5,518
1,6,433
1,7,440
1,8,520
1,9,479
1,10,448
1,11,411
1,12,483
1,13,535
1,14,506
1,15,489
1,16,566
1,17,605
1,18,532
1,19,573
1,20,627
1,21,740
1,22,771
1,23,584
1,24,593
1,25,768
1,26,740
1,27,548
1,28,543
1,29,561
1,30,537
1,31,480
1,32,481
1,33,441
1,34,470
1,35,494
1,36,431
1,37,436
1,38,431
1,39,472
1,40,343
1,41,333
1,42,340
1,43,327
1,44,282
1,45,331
2,1,13895
2,2,14261
2,3,14901
2,4,11071
2,5,9649
2,6,8838
2,7,10703
2,8,10142
2,9,8995
2,10,10257
2,11,9755
2,12,10358
2,13,8887
2,14,8848
2,15,8518
2,16,11671
2,17,11656
2,18,9768
2,19,10036
2,20,10570
2,21,12040
2,22,9212
2,23,10548
2,24,10789
2,25,10804
2,26,13729
2,27,13935
2,28,12822
2,29,12838
2,30,10553
2,31,9272
2,32,9712
2,33,5775
2,34,6559
2,35,5721
2,36,5606
2,37,6351
2,38,8450
2,39,7092
2,40,6650
2,41,7180
2,42,7410
2,43,7271
2,44,8250
2,45,7990
3,1,714
3,2,685
3,3,597
3,4,602
3,5,589
3,6,540
3,7,464
3,8,481
3,9,481
3,10,414
3,11,437
3,12,475
3,13,482
3,14,489
3,15,508
3,16,546
3,17,506
3,18,507
3,19,560
3,20,532
3,21,559
3,22,601
3,23,585
3,24,603
3,25,587
3,26,685
3,27,738
3,28,689
3,29,769
3,30,729
3,31,826
3,32,801
3,33,1019
3,34,926
3,35,964
3,36,951
3,37,998
3,38,962
3,39,1268
3,40,1348
3,41,1497
3,42,1259
3,43,1334
3,44,1166
3,45,1194
4,1,11410
4,2,10071
4,3,9751
4,4,9972
4,5,8256
4,6,7087
4,7,7249
4,8,7815
4,9,8678
4,10,7835
4,11,7080
4,12,6873
4,13,7304
4,14,7758
4,15,6676
4,16,7255
4,17,8031
4,18,6724
4,19,6857
4,20,6918
4,21,6483
4,22,7378
4,23,6225
4,24,6014
4,25,5765
4,26,6544
4,27,6599
4,28,5668
4,29,6652
4,30,6514
4,31,6774
4,32,5742
4,33,5808
4,34,5119
4,35,6060
4,36,6225
4,37,5264
4,38,5170
4,39,5908
4,40,5705
4,41,5912
4,42,6095
4,43,5350
4,44,5291
4,45,7121
5,1,5238
5,2,5212
5,3,5113
5,4,5220
5,5,5129
5,6,4772
5,7,4811
5,8,4730
5,9,4985
5,10,4858
5,11,4290
5,12,4816
5,13,4871
5,14,4626
5,15,4905
5,16,5038
5,17,5379
5,18,4480
5,19,5255
5,20,4546
5,21,4526
5,22,4793
5,23,4981
5,24,4862
5,25,4592
5,26,4654
5,27,4644
5,28,4114
5,29,4188
5,30,4042
5,31,4598
5,32,4149
5,33,4759
5,34,4799
5,35,4904
5,36,4685
5,37,4561
5,38,4443
5,39,4847
5,40,4600
5,41,5133
5,42,4904
5,43,4970
5,44,4779
5,45,4713
6,2,4
6,3,1
6,4,4
6,5,6
6,6,4
6,7,2
6,8,2
6,10,5
6,13,2
6,14,2
6,15,4
6,16,1
6,19,1
6,21,3
6,23,1
6,24,1
6,25,1
6,26,1
6,27,1
6,28,5
6,29,1
6,32,1
6,33,3
6,34,1
6,35,1
6,36,1
6,38,2
6,40,1
6,42,2
6,43,1
6,44,1
6,45,4
7,1,20
7,2,24
7,3,42
7,4,45
7,5,59
7,6,97
7,7,81
7,8,70
7,9,68
7,10,77
7,11,65
7,12,47
7,13,62
7,14,72
7,15,50
7,16,58
7,17,52
7,18,73
7,19,59
7,20,53
7,21,50
7,22,53
7,23,43
7,24,61
7,25,45
7,26,44
7,27,57
7,28,46
7,29,38
7,30,34
7,31,56
7,32,56
7,33,70
7,34,50
7,35,58
7,36,50
7,37,44
7,38,54
7,39,57
7,40,59
7,41,54
7,42,50
7,43,33
7,44,24
7,45,21
8,1,789
8,2,791
8,3,808
8,4,801
8,5,849
8,6,913
8,7,723
8,8,688
8,9,736
8,10,745
8,11,687
8,12,648
8,13,668
8,14,737
8,15,710
8,16,641
8,17,636
8,18,664
8,19,766
8,20,791
8,21,617
8,22,614
8,23,617
8,24,565
8,25,495
8,26,439
8,27,431
8,28,425
8,29,419
8,30,444
8,31,428
8,32,429
8,33,512
8,34,469
8,35,491
8,36,498
8,37,459
8,38,568
8,39,440
8,40,458
8,41,449
8,42,451
8,43,413
8,44,367
8,45,403
9,1,137
9,2,160
9,3,124
9,4,120
9,5,135
9,6,143
9,7,114
9,8,89
9,9,92
9,10,76
9,11,59
9,12,60
9,13,53
9,14,51
9,15,56
9,16,47
9,17,64
9,18,90
9,19,87
9,20,88
9,21,73
9,22,86
9,23,89
9,24,85
9,25,71
9,26,68
9,27,66
9,28,70
9,29,58
9,30,47
9,31,61
9,32,64
9,33,58
9,34,64
9,35,62
9,36,75
9,37,99
9,38,98
9,39,76
9,40,93
9,41,65
9,42,67
9,43,47
9,44,38
9,45,61
10,1,295
10,2,258
10,3,197
10,4,188
10,5,183
10,6,197
10,7,174
10,8,196
10,9,159
10,10,184
10,11,164
10,12,164
10,13,141
10,14,155
10,15,125
10,16,118
10,17,135
10,18,122
10,19,131
10,20,112
10,21,113
10,22,145
10,23,133
10,24,139
10,25,119
10,26,136
10,27,114
10,28,102
10,29,120
10,30,112
10,31,116
10,32,108
10,33,148
10,34,132
10,35,155
10,36,147
10,37,139
10,38,174
10,39,162
10,40,205
10,41,158
10,42,122
10,43,134
10,44,106
10,45,142
11,1,2
11,2,4
11,3,3
11,4,2
11,5,5
11,6,3
11,7,3
11,9,6
11,10,3
11,11,3
11,12,4
11,13,4
11,14,2
11,17,1
11,19,1
11,22,2
11,26,2
11,27,1
11,31,1
11,33,1
11,34,1
11,36,2
11,39,1
11,40,1
11,43,1
11,44,1
12,1,1
12,2,4
12,3,2
12,4,3
12,5,2
12,6,2
12,7,2
12,8,2
12,9,3
12,10,2
12,11,1
12,12,3
12,13,3
12,14,15
12,15,10
12,16,2
12,17,3
12,18,6
12,19,11
12,20,1
12,21,9
12,22,12
12,23,8
12,24,15
12,25,7
12,26,7
12,27,13
12,28,6
12,29,10
12,30,4
12,31,10
12,32,4
12,33,8
12,34,5
12,35,3
12,36,2
12,37,6
12,38,6
12,39,2
12,40,3
12,41,1
12,42,2
12,43,2
12,44,5
12,45,6
13,1,2
13,5,1
13,6,1
13,8,1
13,11,2
13,12,1
13,15,1
13,17,1
13,21,1
13,22,1
13,25,3
13,27,2
13,30,2
13,31,5
13,32,3
13,33,4
13,34,2
13,37,6
13,38,3
13,39,1
13,40,4
13,42,2
13,43,1
13,44,2
13,45,3
14,1,1322
14,2,1265
14,3,1252
14,4,1128
14,5,1022
14,6,1040
14,7,1022
14,8,1021
14,9,1015
14,10,1076
14,11,1006
14,12,1066
14,13,1019
14,14,955
14,15,829
14,16,862
14,17,752
14,18,746
14,19,855
14,20,908
14,21,879
14,22,961
14,23,1040
14,24,1048
14,25,1106
14,26,1106
14,27,963
14,28,867
14,29,983
14,30,975
14,31,929
14,32,821
14,33,1256
14,34,910
14,35,991
14,36,943
14,37,955
14,38,1002
14,39,937
14,40,895
14,41,986
14,42,987
14,43,961
14,44,1017
14,45,1165
15,1,34
15,2,61
15,3,51
15,4,57
15,5,46
15,6,62
15,7,56
15,8,50
15,9,27
15,10,44
15,11,79
15,12,76
15,13,78
15,14,58
15,15,37
15,16,64
15,17,42
15,18,66
15,19,42
15,20,26
15,21,30
15,22,31
15,23,21
15,24,28
15,25,23
15,26,24
15,27,45
15,28,25
15,29,30
15,30,80
15,31,16
15,32,6
15,33,8
15,34,4
15,35,6
15,36,5
15,37,3
15,38,3
15,39,4
15,40,3
15,41,7
15,42,6
15,43,2
15,44,5
15,45,2
16,1,1256
16,2,1474
16,3,1421
16,4,793
16,5,850
16,6,865
16,7,729
16,8,744
16,9,774
16,10,715
16,11,555
16,12,547
16,13,559
16,14,865
16,15,668
16,16,679
16,17,715
16,18,657
16,19,873
16,20,886
16,21,624
16,22,622
16,23,564
16,24,588
16,25,500
16,26,379
16,27,362
16,28,391
16,29,334
16,30,347
16,31,420
16,32,325
16,33,393
16,34,407
16,35,389
16,36,618
16,37,261
16,38,207
16,39,233
16,40,374
16,41,354
16,42,263
16,43,154
16,44,249
16,45,275
17,1,458
17,2,489
17,3,472
17,4,568
17,5,589
17,6,555
17,7,595
17,8,616
17,9,683
17,10,649
17,11,622
17,12,617
17,13,624
17,14,591
17,15,481
17,16,493
17,17,547
17,18,558
17,19,680
17,20,564
17,21,546
17,22,564
17,23,481
17,24,504
17,25,465
17,26,504
17,27,449
17,28,453
17,29,478
17,30,542
17,31,562
17,32,522
17,33,477
17,34,488
17,35,745
17,36,669
17,37,629
17,38,641
17,39,815
17,40,627
17,41,541
17,42,525
17,43,620
17,44,609
17,45,670
18,1,3
18,2,1
18,3,1
18,4,4
18,5,8
18,6,5
18,7,6
18,8,8
18,9,10
18,10,8
18,11,10
18,12,7
18,13,13
18,14,3
18,15,7
18,16,6
18,17,11
18,18,15
18,19,17
18,20,17
18,21,14
18,22,31
18,23,40
18,24,12
18,25,26
18,26,40
18,27,44
18,28,34
18,29,45
18,30,33
18,31,24
18,32,27
18,33,20
18,34,24
18,35,39
18,36,50
18,37,54
18,38,50
18,39,47
18,40,19
18,41,24
18,42,37
18,43,34
18,44,7
18,45,38
20,1,6
20,2,5
20,3,7
20,4,9
20,5,13
20,6,8
20,7,17
20,8,8
20,9,6
20,10,15
20,11,10
20,12,9
20,13,12
20,14,17
20,15,6
20,16,10
20,17,14
20,18,6
20,19,6
20,20,15
20,21,11
20,22,12
20,23,8
20,24,7
20,25,10
20,26,14
20,27,20
20,28,12
20,29,5
20,30,19
20,31,10
20,32,11
20,33,9
20,34,8
20,35,10
20,36,7
20,37,10
20,38,5
20,39,11
20,40,7
20,41,3
20,42,4
20,43,5
20,44,10
20,45,5
21,1,5238
21,2,5212
21,3,5113
21,4,5220
21,5,5129
21,6,4772
21,7,4811
21,8,4730
21,9,4985
21,10,4858
21,11,4290
21,12,4816
21,13,4871
21,14,4626
21,15,4905
21,16,5038
21,17,5379
21,18,4480
21,19,5255
21,20,4546
21,21,4526
21,22,4793
21,23,4981
21,24,4862
21,25,4592
21,26,4654
21,27,4644
21,28,4114
21,29,4188
21,30,4042
21,31,4598
21,32,4149
21,33,4759
21,34,4799
21,35,4904
21,36,4685
21,37,4561
21,38,4443
21,39,4847
21,40,4600
21,41,5133
21,42,4904
21,43,4970
21,44,4779
21,45,4713
22,1,2377
22,2,2511
22,3,2438
22,4,2465
22,5,2413
22,6,2234
22,7,2081
22,8,2134
22,9,2063
22,10,2016
22,11,1961
22,12,2061
22,13,2069
22,14,2190
22,15,2146
22,16,2363
22,17,2383
22,18,2287
22,19,2629
22,20,2392
22,21,2214
22,22,2562
22,23,2362
22,24,2269
22,25,2240
22,26,2268
22,27,2301
22,28,2083
22,29,2109
22,30,2114
22,31,2130
22,32,1971
22,33,2215
22,34,2285
22,35,2224
22,36,2249
22,37,2074
22,38,2080
22,39,1934
22,40,1899
22,41,1921
22,42,1712
22,43,1818
22,44,1490
22,45,1523
23,1,458
23,2,531
23,3,497
23,4,550
23,5,529
23,6,460
23,7,460
23,8,544
23,9,507
23,10,473
23,11,443
