category_min_id,week_num,region,media_cnt
4,22,Tokyo,837
4,23,Niigata,278
4,23,Tokyo,812
4,24,Niigata,256
4,24,Tokyo,794
4,25,Niigata,279
4,25,Tokyo,784
4,26,Niigata,279
4,26,Tokyo,778
4,27,Niigata,255
4,27,Tokyo,772
4,28,Niigata,256
4,28,Tokyo,794
4,29,Niigata,263
4,29,Tokyo,783
4,30,Niigata,280
4,30,Tokyo,751
4,31,Niigata,257
4,31,Tokyo,757
4,32,Niigata,253
4,32,Tokyo,756
4,33,Niigata,256
4,33,Tokyo,759
4,34,Niigata,263
4,34,Tokyo,736
4,35,Niigata,280
4,35,Tokyo,773
4,36,Niigata,266
4,36,Tokyo,733
4,37,Niigata,268
4,37,Tokyo,729
4,38,Niigata,262
4,38,Tokyo,719
4,39,Niigata,264
4,39,Tokyo,719
4,40,Niigata,267
4,40,Tokyo,760
4,41,Niigata,285
4,41,Tokyo,716
4,42,Niigata,277
4,42,Tokyo,735
4,43,Niigata,272
4,43,Tokyo,742
4,44,Niigata,268
4,44,Tokyo,737
4,45,Niigata,277
4,45,Tokyo,766
4,46,Niigata,253
4,46,Tokyo,792
5,1,Niigata,1441
5,1,Tokyo,2078
5,2,Niigata,1520
5,2,Tokyo,2106
5,3,Niigata,1446
5,3,Tokyo,2150
5,4,Niigata,1446
5,4,Tokyo,2117
5,5,Niigata,1488
5,5,Tokyo,2161
5,6,Niigata,1431
5,6,Tokyo,2104
5,7,Niigata,1366
5,7,Tokyo,1985
5,8,Niigata,1311
5,8,Tokyo,2024
5,9,Niigata,1338
5,9,Tokyo,2008
5,10,Niigata,1331
5,10,Tokyo,2049
5,11,Niigata,1343
5,11,Tokyo,2032
5,12,Niigata,2641
5,12,Tokyo,3304
5,13,Niigata,1350
5,13,Tokyo,1982
5,14,Niigata,1322
5,14,Tokyo,2019
5,15,Niigata,1267
5,15,Tokyo,2033
5,16,Niigata,1880
5,16,Tokyo,2101
5,17,Niigata,1331
5,17,Tokyo,2036
5,18,Niigata,1289
5,18,Tokyo,1956
5,19,Niigata,1332
5,19,Tokyo,2037
5,20,Niigata,1294
5,20,Tokyo,2018
5,21,Niigata,1266
5,21,Tokyo,1903
5,22,Niigata,1250
5,22,Tokyo,1927
5,23,Niigata,1279
5,23,Tokyo,1990
5,24,Niigata,1239
5,24,Tokyo,1897
5,25,Niigata,1229
5,25,Tokyo,1948
5,26,Niigata,1196
5,26,Tokyo,1880
5,27,Niigata,1203
5,27,Tokyo,1874
5,28,Niigata,1168
5,28,Tokyo,1857
5,29,Niigata,1143
5,29,Tokyo,1838
5,30,Niigata,1176
5,30,Tokyo,1849
5,31,Niigata,1136
5,31,Tokyo,1771
5,32,Niigata,1131
5,32,Tokyo,1797
5,33,Niigata,1148
